name,address,types,price_level,rating
紅蜻蜓食事處,大安區永康街35之1號,restaurant food point_of_interest establishment,2,3.8
Focus kitchen肯恩廚房,大安區信義路二段198巷6號,restaurant food point_of_interest establishment,2,4.3
莫宰羊-大安台大店,大安區新生南路三段28號,restaurant food point_of_interest establishment,2,4.2
龍涎居雞膳食坊 師大創始店,大安區羅斯福路三段135號,restaurant food point_of_interest establishment,2,3.8
王品牛排 台北羅斯福店,中正區羅斯福路二段9號,restaurant food point_of_interest establishment,3,4.7
Vino Vino Caf'e,大安區師大路80巷2號,restaurant food point_of_interest establishment,2,3.6
KGB Kiwi Gourmet Burgers,大安區師大路114巷5號,restaurant food point_of_interest establishment,2,4.1
麥當勞-羅斯福餐廳,大安區羅斯福路二段45號,restaurant food point_of_interest establishment,1,3.9
大隱酒食,大安區永康街65號,restaurant food point_of_interest establishment,2,3.9
紫藤廬,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant food point_of_interest establishment,2,4.2
樂麵屋 永康店,大安區永康街10巷7號,restaurant food point_of_interest establishment,2,4.2
瑪莉珍披薩 師大店,大安區浦城街33-9號,restaurant food point_of_interest establishment,2,4.1
徐羅伐韓國料理,大安區永康街14巷5號,restaurant food point_of_interest establishment,2,3.5
游壽司麗水店,大安區麗水街7巷7號,restaurant food point_of_interest establishment,2,4.7
Macho Tacos 瑪丘墨式餅舖 (師大 Shida),大安區師大路93巷1號,restaurant food point_of_interest establishment,2,4
許記生煎包,大安區師大路39巷12號,restaurant food point_of_interest establishment,1,3.9
伊洛瓦底,大安區龍泉街76號,restaurant food point_of_interest establishment,1,3.6
水牛城美式炭烤牛排（古亭）,中正區杭州南路二段94號,restaurant food point_of_interest establishment,2,4.5
霞飛驛歐法西餐,大安區新生南路三段60巷8號,restaurant food point_of_interest establishment,2,4.2
青田七六,大安區青田街7巷6號,restaurant food point_of_interest establishment,2,4.4
