name,phone_number,address,types,price_level,rating
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant food point_of_interest establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant food point_of_interest establishment,2,4.7
聚日式鍋物 台北南昌店,,"2F, No. 216, 南昌路二段, 中正区",restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
王品牛排 台北羅斯福店,,中正區羅斯福路二段9號,restaurant point_of_interest food establishment,3,4.7
游壽司麗水店,,大安區麗水街7巷7號,restaurant point_of_interest food establishment,2,4.7
女巫店,,大安區新生南路三段56巷7號,cafe store restaurant point_of_interest food establishment,2,4.6
西堤牛排 台北羅斯福店,,"2F, No. 79號, 罗斯福路二段, 大安区",restaurant point_of_interest food establishment,2,4.6
印渡風情印度餐廳師大店,,大安區浦城街13巷26號,restaurant point_of_interest food establishment,2,4.6
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant food point_of_interest establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
水牛城美式炭烤牛排（古亭）,,中正區杭州南路二段94號,restaurant point_of_interest food establishment,2,4.5
