comments,keywords
: 拆我部分粒鷗滴不能忍,"[':', ' ', '拆', '我', '部分', '粒鷗', '滴', '不能', '忍']"
: ZOD也太忙了吧,"[':', ' ', 'ZOD', '也', '太忙', '了', '吧']"
: 先預測3:0,"[':', ' ', '先', '預測', '3', ':', '0']"
: 終於有宇宙四件頭能看了  打5個B~A級咖 3:0不用分析,"[':', ' ', '終於有', '宇宙', '四件', '頭能', '看', '了', ' ', ' ', '打', '5', '個', 'B', '~', 'A', '級', '咖', ' ', '3', ':', '0', '不用', '分析']"
: 部分又撥第二場  痛苦,"[':', ' ', '部分', '又', '撥', '第二', '場', ' ', ' ', '痛苦']"
: #相信熊哥 #宇宙四件頭怎麼輸,"[':', ' ', '#', '相信', '熊哥', ' ', '#', '宇宙', '四件', '頭怎麼', '輸']"
: 10場打滿,"[':', ' ', '10', '場打滿']"
: 牙膏會不會被左手標記呢,"[':', ' ', '牙膏', '會不會', '被', '左手', '標記', '呢']"
: 又是看不到任何爆冷的可能,"[':', ' ', '又', '是', '看不到', '任何', '爆冷', '的', '可能']"
: 打T1我再分析吧  今天毫無懸念  就是JDG虐菜,"[':', ' ', '打', 'T1', '我', '再', '分析', '吧', ' ', ' ', '今天', '毫無懸念', ' ', ' ', '就是', 'JDG', '虐菜']"
: zod部分不排一起是怎樣==,"[':', ' ', 'zod', '部分', '不排', '一起', '是', '怎樣', '=', '=']"
: 確實= =沒想到會有一天為了主播賽評的安排開噓,"[':', ' ', '確實', '=', ' ', '=', '沒', '想到', '會', '有', '一天', '為', '了', '主播', '賽評', '的', '安排', '開噓']"
: 國人內戰...真的完全沒有看得動力呢,"[':', ' ', '國人', '內戰', '...', '真的', '完全', '沒有', '看', '得', '動力', '呢']"
: 拆我ZOD部分,"[':', ' ', '拆', '我', 'ZOD', '部分']"
: 拆掉的話，麻煩兩場都打滿,"[':', ' ', '拆掉', '的', '話', '，', '麻煩', '兩場', '都', '打滿']"
: 大家為啥比較看好C9的感覺啊 他們狀態好差==,"[':', ' ', '大家', '為', '啥', '比', '較', '看好', 'C9', '的', '感覺', '啊', ' ', '他們', '狀態', '好', '差', '=', '=']"
: BLG狀態沒有調整回來的話  打G2感覺有戲,"[':', ' ', 'BLG', '狀態', '沒有', '調整', '回來', '的', '話', ' ', ' ', '打', 'G2', '感覺', '有戲']"
: 希望C9下去,"[':', ' ', '希望', 'C9', '下去']"
: 不讓凱老師玩薩爾達就算了 還不讓Zoe一起播,"[':', ' ', '不', '讓', '凱老師', '玩薩爾達', '就算', '了', ' ', '還不讓', 'Zoe', '一起', '播']"
: 可以看LPL解說  上半場有rita,"[':', ' ', '可以', '看', 'LPL', '解說', ' ', ' ', '上半', '場有', 'rita']"
: 為什麼老山都沒播 有人知道原因嗎 只知道他之前確,"[':', ' ', '為', '什麼', '老山', '都', '沒播', ' ', '有人', '知道', '原因', '嗎', ' ', '只', '知道', '他', '之前', '確']"
": XD 有三個人跟昨天一樣, 太血汗了","[':', ' ', 'XD', ' ', '有三個', '人', '跟', '昨天', '一樣', ',', ' ', '太', '血汗', '了']"
: 診,"[':', ' ', '診']"
: 老山就是確診 要隔兩週,"[':', ' ', '老山', '就是', '確診', ' ', '要', '隔', '兩週']"
: 這禮拜賽評就剩兩位了  nash去日本了,"[':', ' ', '這禮', '拜', '賽評', '就', '剩', '兩位', '了', ' ', ' ', 'nash', '去', '日本', '了']"
: 這一組哦…,"[':', ' ', '這一組', '哦', '…']"
: 老山濫用神力 被封印了,"[':', ' ', '老山', '濫用', '神力', ' ', '被', '封印', '了']"
: 我怕看到睡著= =,"[':', ' ', '我怕', '看到', '睡著', '=', ' ', '=']"
: 內戰喔那我還是先去追個劇再來,"[':', ' ', '內戰', '喔', '那', '我', '還是', '先去', '追個劇', '再', '來']"
: 那妳不用看了，兩場都是內戰,"[':', ' ', '那', '妳', '不用', '看', '了', '，', '兩場', '都', '是', '內戰']"
: 還我老山奈許啊啊啊啊,"[':', ' ', '還我', '老山', '奈許', '啊啊啊', '啊']"
: 恨熊熊,"[':', ' ', '恨', '熊熊']"
: 亂打亂送銅牌場開打!!!!,"[':', ' ', '亂', '打亂', '送', '銅牌', '場開', '打', '!', '!', '!', '!']"
: 優五...,"[':', ' ', '優五', '...']"
: 爽 這主播配垃圾賽區,"[':', ' ', '爽', ' ', '這主播', '配', '垃圾', '賽區']"
: zven變好胖,"[':', ' ', 'zven', '變好', '胖']"
: 部份又不用配zod,"[':', ' ', '部份', '又', '不用', '配', 'zod']"
: 怎麼講話都很大舌頭,"[':', ' ', '怎麼', '講話', '都', '很大', '舌頭']"
: 反正根本不用擔心JDG有人發揮不好  還有三件頭補上,"[':', ' ', '反正', '根本', '不用', '擔心', 'JDG', '有人', '發揮', '不好', ' ', ' ', '還有', '三件', '頭補', '上']"
: ban路西恩幹嘛，elk路西恩那麼爛,"[':', ' ', 'ban', '路西', '恩幹', '嘛', '，', 'elk', '路西', '恩', '那麼爛']"
: 泰坦根本不用ban  神左不完垃圾工具人,"[':', ' ', '泰坦', '根本', '不用', 'ban', ' ', ' ', '神', '左', '不', '完', '垃圾', '工具', '人']"
: jdg四箭頭   看不到blg贏的畫面,"[':', ' ', 'jdg', '四箭頭', ' ', ' ', ' ', '看不到', 'blg', '贏的', '畫面']"
: 左手的狐狸好猛 直接首選,"[':', ' ', '左手', '的', '狐狸', '好', '猛', ' ', '直接', '首選']"
: 拿露露也OK 現在輔助露露最猛,"[':', ' ', '拿', '露露', '也', 'OK', ' ', '現在', '輔助', '露露', '最猛']"
: 前三樓好無聊XDDD,"[':', ' ', '前三樓', '好', '無聊', 'XDDD']"
: 牙膏當洞打 怎麼輸,"[':', ' ', '牙膏', '當洞', '打', ' ', '怎麼', '輸']"
: 左邊9哥要揆桑提了嗎,"[':', ' ', '左邊', '9', '哥要', '揆', '桑提', '了', '嗎']"
: 李星嗎,"[':', ' ', '李星', '嗎']"
: lpl卡桑帝放這麼後面喔,"[':', ' ', 'lpl', '卡桑', '帝放', '這麼後面', '喔']"
: 好制式的bp,"[':', ' ', '好', '制式', '的', 'bp']"
: 挖 直接按掉揆桑提然後搶賽恩 有料欸這BP,"[':', ' ', '挖', ' ', '直接', '按掉', '揆', '桑', '提然', '後', '搶賽', '恩', ' ', '有料', '欸', '這', 'BP']"
: 肥豬bin那髮型看得到螢幕喔？,"[':', ' ', '肥豬', 'bin', '那', '髮', '型', '看', '得到', '螢幕', '喔', '？']"
: 22比賽恩強,"[':', ' ', '22', '比賽', '恩強']"
